"Urban","Siblings","White","Christian","FamilySize","Height","Weight","Income","logIncome","sqrtHeight"
1,1,1,1,4,64,200,40000,10.5966347330961,8
1,1,1,1,3,65,131,25000,10.1266311038503,8.06225774829855
0,7,1,0,3,65,179,27400,10.2182982923762,8.06225774829855
1,4,1,1,6,66,145,52000,10.8589989975636,8.12403840463596
1,1,1,1,3,71,155,55000,10.9150884642146,8.42614977317636
1,2,1,1,5,71,180,60000,11.0020998412042,8.42614977317636
1,2,1,1,5,67,135,48000,10.77895628989,8.18535277187245
0,3,1,1,4,63,130,38000,10.5453414387085,7.93725393319377
1,2,1,0,2,69,160,48000,10.77895628989,8.30662386291807
1,2,1,0,1,69,155,120000,11.6952470217642,8.30662386291807
1,2,1,1,5,NA,120,52000,10.8589989975636,NA
1,2,1,1,5,62,133,82000,11.3144745262464,7.87400787401181
1,1,1,1,4,64,110,36000,10.4912742174382,8
1,1,1,0,3,67,125,20000,9.90348755253613,8.18535277187245
1,1,1,0,4,65,114,24000,10.0858091093301,8.06225774829855
1,1,1,0,4,67,146,50000,10.8197782844103,8.18535277187245
1,2,0,1,4,68,150,26000,10.1658518170036,8.24621125123532
1,5,1,0,4,70,185,35000,10.4631033404715,8.36660026534076
1,4,1,1,4,67,124,13000,9.47270463644367,8.18535277187245
1,4,1,1,4,64,108,44000,10.6919449129004,8
1,NA,1,1,4,71,170,57000,10.9508065468167,8.42614977317636
1,3,1,1,3,74,230,115000,11.6526874073454,8.60232526704263
1,1,0,1,4,71,210,50000,10.8197782844103,8.42614977317636
1,2,0,0,5,67,130,6000,8.69951474821019,8.18535277187245
1,0,1,1,3,62,115,30000,10.3089526606443,7.87400787401181
1,1,1,0,3,73,190,65000,11.0821425488778,8.54400374531753
1,6,1,1,2,69,135,33361,10.4151428320426,8.30662386291807
0,4,1,1,4,65,170,27000,10.2035921449865,8.06225774829855
0,3,0,1,7,69,237,1200,7.09007683577609,8.30662386291807
1,3,1,1,2,73,195,40000,10.5966347330961,8.54400374531753
0,1,1,1,2,67,128,2500,7.82404601085629,8.18535277187245
1,2,1,1,5,62,130,43000,10.6689553946757,7.87400787401181
1,2,0,1,5,69,190,31000,10.3417424834673,8.30662386291807
0,2,0,1,5,71,190,50000,10.8197782844103,8.42614977317636
1,3,1,1,4,65,120,40000,10.5966347330961,8.06225774829855
0,3,1,1,4,70,175,34000,10.4341158035983,8.36660026534076
1,3,1,1,3,70,160,115000,11.6526874073454,8.36660026534076
1,1,0,1,4,73,155,70000,11.1562505210315,8.54400374531753
1,2,1,1,3,65,NA,36000,10.4912742174382,8.06225774829855
1,2,1,1,4,70,179,216200,12.2839591841872,8.36660026534076
1,3,1,0,5,64,115,30000,10.3089526606443,8
1,3,0,0,5,73,160,30000,10.3089526606443,8.54400374531753
1,2,1,1,5,71,160,216200,12.2839591841872,8.42614977317636
0,5,1,1,4,67,130,15500,9.64859530290734,8.18535277187245
1,5,1,1,4,69,170,11000,9.30565055178051,8.30662386291807
0,2,1,1,4,65,125,20000,9.90348755253613,8.06225774829855
1,2,1,1,1,64,122,38000,10.5453414387085,8
1,7,1,1,1,66,134,28000,10.2399597891573,8.12403840463596
1,2,1,0,2,64,120,43000,10.6689553946757,8
